days_since_last_activity,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,repo_activity_density,churn
83,2.0902,0.4286,0.0,1.0,0.0,0
1,7.5612,7.2,0.0278,0.9722,0.21,0
14,6.3345,0.3977,0.0189,0.9811,0.1195,0
4,5.3007,0.2465,0.0405,0.9595,0.2149,0
14,0.0,34.0,0.0,0.0,0.0,0
130,0.5857,1.0303,0.125,0.875,0.0732,0
39,12.0818,0.5484,0.1481,0.8519,1.7899,0
12,2.51,0.5484,0.0303,0.9697,0.0761,0
439,1.1037,0.2112,0.0769,0.9231,0.0849,1
21,0.3871,0.4304,0.3333,0.6667,0.129,0
33,6.586,0.33,0.0833,0.9167,0.5488,0
72,5.7103,0.55,0.0,1.0,0.0,0
20,8.9015,3.6667,0.0163,0.9837,0.1447,0
22,10.9806,1.32,0.5263,0.4737,5.7793,0
139,1.6698,0.8205,0.0,1.0,0.0,0
48,2.9298,10.6667,0.0,1.0,0.0,0
76,0.8968,0.64,0.2857,0.7143,0.2562,0
18,0.0712,1.1429,1.0,0.0,0.0712,0
107,3.1547,1.0667,0.0,1.0,0.0,0
260,3.72,0.9697,0.0,1.0,0.0,1
136,0.5674,6.4,0.1429,0.8571,0.0811,0
8,1.2396,1.55,0.0,1.0,0.0,0
29,1.1589,6.2,0.0833,0.9167,0.0966,0
321,0.1521,1.4762,0.0,1.0,0.0,1
9,0.2426,0.6458,0.0,1.0,0.0,0
1,3.1091,0.4189,0.087,0.913,0.2704,0
72,0.0,1.069,0.0,0.0,0.0,0
95,0.2168,0.625,0.0,1.0,0.0,0
100,4.8359,30.0,0.2353,0.7647,1.1379,0
354,5.8543,0.5,0.0,1.0,0.0,1
46,2.3491,1.875,0.069,0.931,0.162,0
37,4.3066,1.5,0.0189,0.9811,0.0813,0
34,3.1769,0.6522,0.0,1.0,0.0,0
5,8.2942,3.0,0.037,0.963,0.3072,0
12,0.3344,0.6818,0.2,0.8,0.0669,0
41,1.2466,1.5789,0.0833,0.9167,0.1039,0
636,2.9584,1.1154,0.0,1.0,0.0,1
9,1.4268,2.9,0.0,1.0,0.0,0
42,5.4579,1.16,0.0,1.0,0.0,0
656,0.3626,0.2613,0.0,1.0,0.0,1
22,0.6303,0.9355,0.8333,0.1667,0.5252,0
4,0.482,1.2083,1.0,0.0,0.482,0
3612,0.489,0.6905,0.0,1.0,0.0,1
81,6.0548,14.5,0.1351,0.8649,0.8182,0
46,2.0865,0.5714,0.7895,0.2105,1.6472,0
7,8.4288,0.2276,0.0769,0.9231,0.6484,0
9,0.6074,2.1538,0.1429,0.8571,0.0868,0
5,2.3095,0.5,0.0769,0.9231,0.1777,0
946,12.4918,1.0,0.0,1.0,0.0,1
114,1.793,4.6667,0.037,0.963,0.0664,0
6,5.2839,0.56,0.2188,0.7812,1.1559,0
4,0.2431,0.4375,0.3333,0.6667,0.081,0
18,8.791,1.5556,0.0323,0.9677,0.2836,0
11,12.5134,1.0,0.0755,0.9245,0.9444,0
5,1.0583,0.359,0.0,1.0,0.0,0
1,1.3932,0.4828,0.4167,0.5833,0.5805,0
15,8.7821,0.5625,0.0482,0.9518,0.4232,0
73,0.1402,1.08,0.0,1.0,0.0,0
7,3.4786,1.125,0.0,1.0,0.0,0
11,20.0975,1.0,0.2174,0.7826,4.369,0
16,3.9424,0.7105,0.0208,0.9792,0.0821,0
82,6.6452,0.2755,0.1647,0.8353,1.0945,0
21,4.6752,0.8438,0.0312,0.9688,0.1461,0
38,16.914,27.0,0.2162,0.7838,3.6571,0
91,4.7519,0.75,0.1017,0.8983,0.4832,0
41,12.5156,1.7333,0.0204,0.9796,0.2554,0
189,1.8058,1.1304,0.0,1.0,0.0,1
289,0.9897,8.6667,0.0,1.0,0.0,1
14,2.6319,2.8889,0.0244,0.9756,0.0642,0
45,26.0893,0.6047,0.3667,0.6333,9.5661,0
64,0.7176,1.8571,0.0,1.0,0.0,0
23,2.78,0.7647,0.0645,0.9355,0.1794,0
668,1.3888,26.0,0.0,1.0,0.0,1
111,2.5961,4.3333,0.1026,0.8974,0.2663,0
100,2.078,1.1304,0.0,1.0,0.0,0
33,2.0069,2.0833,0.2381,0.7619,0.4778,0
80,2.9916,0.2174,0.0,1.0,0.0,0
27,10.4915,0.4808,0.0698,0.9302,0.732,0
26,18.9147,1.3158,0.4138,0.5862,7.8268,0
112,0.3145,0.5952,0.0,1.0,0.0,0
6,4.4684,0.2,0.069,0.931,0.3082,0
73,11.5532,1.5625,0.0246,0.9754,0.2841,0
1838,0.3798,1.0,0.0,1.0,0.0,1
28,25.6515,0.5556,0.0059,0.9941,0.1513,0
6,2.6083,0.7576,0.2258,0.7742,0.589,0
7,0.2472,2.7778,0.0,1.0,0.0,0
38,0.9066,1.087,0.6667,0.3333,0.6044,0
229,1.0012,1.1364,0.0,1.0,0.0,1
3,5.3582,0.8065,0.0,1.0,0.0,0
32,5.3662,0.4211,0.0968,0.9032,0.5193,0
63,4.5316,2.1818,0.1333,0.8667,0.6042,0
237,3.259,1.1429,0.0,1.0,0.0,1
22,4.3156,2.6667,0.122,0.878,0.5263,0
12,2.8655,0.2963,0.2667,0.7333,0.7641,0
5,2.0656,0.3871,0.0588,0.9412,0.1215,0
1218,1.7731,24.0,0.0,1.0,0.0,1
28,0.7173,1.2,0.2222,0.7778,0.1594,0
152,1.2028,0.6486,0.0,1.0,0.0,0
10,4.4079,0.7059,0.0,1.0,0.0,0
1251,1.2552,24.0,0.1667,0.8333,0.2092,1
12,1.7098,0.5581,0.5,0.5,0.8549,0
60,2.0342,2.3,0.1111,0.8889,0.226,0
5,4.4619,1.2105,0.0,1.0,0.0,0
46,1.5511,11.5,0.0,1.0,0.0,0
79,4.9089,1.2105,0.3243,0.6757,1.5921,0
18,2.4394,1.0,0.0811,0.9189,0.1978,0
2046,2.3954,0.6053,0.0,1.0,0.0,1
14,4.8206,0.7667,0.0385,0.9615,0.1854,0
5,1.6254,0.92,0.0417,0.9583,0.0677,0
10,7.6795,1.0455,0.0526,0.9474,0.4042,0
70,1.8212,0.7667,0.0,1.0,0.0,0
19,2.2039,0.575,0.3182,0.6818,0.7012,0
364,0.7508,1.0,0.0,1.0,0.0,1
18,13.0619,0.697,0.0741,0.9259,0.9675,0
110,0.8849,0.7333,0.0769,0.9231,0.0681,0
51,0.0,1.2222,0.0,0.0,0.0,0
11,0.7961,1.8333,0.1,0.9,0.0796,0
4,5.1108,0.9167,0.0667,0.9333,0.3407,0
467,1.7709,1.375,0.0,1.0,0.0,1
29,14.6805,0.6286,0.04,0.96,0.5872,0
34,1.8643,1.2941,0.0385,0.9615,0.0717,0
840,0.3115,0.5946,0.3333,0.6667,0.1038,1
87,2.901,0.88,0.0,1.0,0.0,0
33,1.414,1.5714,0.2727,0.7273,0.3856,0
24,1.301,1.0476,0.0,1.0,0.0,0
33,0.439,1.5714,0.0,1.0,0.0,0
24,1.1121,0.3385,0.0,1.0,0.0,0
14,1.0854,0.88,0.0,1.0,0.0,0
0,0.949,1.5714,0.2,0.8,0.1898,0
140,1.7932,1.2222,0.0,1.0,0.0,0
45,4.2686,0.6471,0.0189,0.9811,0.0805,0
173,1.1608,1.375,0.0714,0.9286,0.0829,0
20,0.4963,0.88,0.0,1.0,0.0,0
27,4.5722,1.5714,0.0,1.0,0.0,0
12,1.5903,0.4314,0.4,0.6,0.6361,0
151,3.3001,1.2941,0.0,1.0,0.0,0
19,3.1768,1.375,0.0488,0.9512,0.155,0
40,8.2961,1.1579,0.04,0.96,0.3318,0
243,0.4612,2.2,0.0,1.0,0.0,1
4,4.2054,1.2222,0.1111,0.8889,0.4673,0
14,5.0755,1.0476,0.0,1.0,0.0,0
23,20.654,1.2941,0.9474,0.0526,19.567,0
64,0.7212,2.75,0.1818,0.8182,0.1311,0
388,1.4835,1.9091,0.1,0.9,0.1484,1
230,1.4958,5.25,0.0,1.0,0.0,1
1203,0.0,1.4,0.0,0.0,0.0,1
71,9.4113,0.9545,0.0,1.0,0.0,0
211,8.0782,1.1667,0.0,1.0,0.0,1
4,4.5955,2.3333,0.0274,0.9726,0.1259,0
15,5.0333,0.6,0.0667,0.9333,0.3356,0
582,0.9863,0.525,0.0,1.0,0.0,1
2564,0.4097,21.0,0.0,1.0,0.0,1
35,8.8261,0.84,0.1702,0.8298,1.5023,0
2099,0.0,0.84,0.0,0.0,0.0,1
20,2.4065,1.6154,0.0,1.0,0.0,0
4,2.8696,1.05,0.0,1.0,0.0,0
26,6.1717,0.875,0.0227,0.9773,0.1403,0
18,0.9917,0.75,0.0,1.0,0.0,0
34,1.8282,1.75,0.1304,0.8696,0.2385,0
1,6.61,5.25,0.4571,0.5429,3.0217,0
58,2.5108,1.8182,0.0294,0.9706,0.0738,0
48,1.8349,0.5714,0.0,1.0,0.0,0
67,4.5779,0.625,0.3214,0.6786,1.4715,0
32,2.008,0.7143,0.05,0.95,0.1004,0
16,2.1612,1.8182,0.2353,0.7647,0.5085,0
19,11.6727,1.0526,0.0545,0.9455,0.6367,0
48,0.6451,1.5385,0.4444,0.5556,0.2867,0
8,0.0,20.0,0.0,0.0,0.0,0
97,0.0,0.2941,0.0,0.0,0.0,0
19,5.9849,0.3774,0.1143,0.8857,0.684,0
13,1.2764,1.3333,0.1053,0.8947,0.1344,0
222,0.5545,0.4255,0.0,1.0,0.0,1
852,0.4208,20.0,0.0,1.0,0.0,1
20,0.5828,1.1765,0.0,1.0,0.0,0
103,1.1147,20.0,0.0,1.0,0.0,0
32,11.1811,1.0526,0.3333,0.6667,3.727,0
74,1.3966,1.2667,0.1765,0.8235,0.2465,0
55,8.0604,0.3065,0.0349,0.9651,0.2812,0
74,5.6478,0.2754,0.0597,0.9403,0.3372,0
95,2.9489,2.1111,0.0278,0.9722,0.0819,0
14,0.2941,19.0,1.0,0.0,0.2941,0
284,0.9475,2.375,0.125,0.875,0.1184,1
20,12.0148,0.5,0.0,1.0,0.0,0
10,1.2735,19.0,0.0625,0.9375,0.0796,0
12,0.6683,0.3878,0.125,0.875,0.0835,0
17,9.6396,1.0556,0.0938,0.9062,0.9037,0
53,0.3174,1.4615,0.0,1.0,0.0,0
640,0.5148,19.0,0.0,1.0,0.0,1
28,1.9626,0.7308,0.0345,0.9655,0.0677,0
