followers_following_ratio,account_age_days,repos_per_year,avg_stars_per_repo,avg_forks_per_repo,active_repo_ratio,churn
0.5606,5892,1.1158,0.1667,0.0,0.0,0
1.4231,2643,2.4875,0.0,0.0556,0.0556,0
1.0286,1554,3.0555,0.5385,0.2308,0.0,0
1.0588,4337,3.9582,0.3404,0.2128,0.0213,0
0.7059,4707,0.388,1.0,0.6,0.0,0
0.4286,4718,2.0902,0.2963,0.6296,0.0,0
7.2,3478,7.5612,0.4861,0.0694,0.0278,0
0.3977,3056,6.3345,0.1132,0.0566,0.0189,0
0.2465,5099,5.3007,0.3649,0.0,0.0405,0
34.0,783,0.0,0.0,0.0,0.0,0
1.0303,4989,0.5857,1.375,0.125,0.125,0
0.5484,3265,12.0818,0.0278,0.1204,0.1481,0
0.5484,4802,2.51,0.9091,0.0303,0.0303,0
0.2112,4302,1.1037,0.0,0.0,0.0769,1
0.4304,2831,0.3871,0.3333,0.0,0.3333,0
0.33,2662,6.586,0.1458,0.0625,0.0833,0
0.55,1727,5.7103,1.8889,0.037,0.0,0
3.6667,5047,8.9015,0.1707,0.0732,0.0163,0
1.32,632,10.9806,0.0526,0.0526,0.5263,0
0.8205,5031,1.6698,0.3913,0.2609,0.0,0
10.6667,4488,2.9298,0.3333,0.1667,0.0,0
0.64,5702,0.8968,1.5714,0.2857,0.2857,0
1.1429,5133,0.0712,2.0,0.0,1.0,0
1.0667,3705,3.1547,0.25,0.0625,0.0,0
0.9697,2651,3.72,0.5556,0.1111,0.0,1
6.4,4506,0.5674,3.2857,0.4286,0.1429,0
1.55,5009,1.2396,0.4118,0.2941,0.0,0
6.2,3782,1.1589,0.8333,0.5833,0.0833,0
1.4762,2401,0.1521,0.0,0.0,0.0,1
0.6458,4517,0.2426,1.0,0.0,0.0,0
0.4189,2702,3.1091,0.8261,0.1739,0.087,0
1.069,4910,0.0,0.0,0.0,0.0,0
0.625,1685,0.2168,0.0,0.0,0.0,0
30.0,1284,4.8359,3.8235,2.6471,0.2353,0
0.5,3681,5.8543,0.678,0.4068,0.0,1
1.875,4509,2.3491,0.2759,0.3448,0.069,0
1.5,4495,4.3066,0.0943,0.0377,0.0189,0
0.6522,4024,3.1769,0.0857,0.0286,0.0,0
3.0,2378,8.2942,2.4815,0.2222,0.037,0
0.6818,5462,0.3344,1.0,0.0,0.2,0
1.5789,3516,1.2466,3.0833,0.5,0.0833,0
1.1154,1605,2.9584,0.0769,0.0,0.0,1
2.9,1792,1.4268,0.4286,0.0,0.0,0
1.16,5086,5.4579,0.0395,0.0,0.0,0
0.2613,5037,0.3626,0.0,0.0,0.0,1
0.9355,3477,0.6303,0.0,0.0,0.8333,0
1.2083,5304,0.482,0.0,0.0,1.0,0
0.6905,3735,0.489,0.6,0.2,0.0,1
