days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,churn
12,4802,2.51,0.5484,0.0303,0.9697,0
439,4302,1.1037,0.2112,0.0769,0.9231,1
21,2831,0.3871,0.4304,0.3333,0.6667,0
33,2662,6.586,0.33,0.0833,0.9167,0
72,1727,5.7103,0.55,0.0,1.0,0
20,5047,8.9015,3.6667,0.0163,0.9837,0
22,632,10.9806,1.32,0.5263,0.4737,0
139,5031,1.6698,0.8205,0.0,1.0,0
48,4488,2.9298,10.6667,0.0,1.0,0
76,5702,0.8968,0.64,0.2857,0.7143,0
18,5133,0.0712,1.1429,1.0,0.0,0
107,3705,3.1547,1.0667,0.0,1.0,0
260,2651,3.72,0.9697,0.0,1.0,1
136,4506,0.5674,6.4,0.1429,0.8571,0
8,5009,1.2396,1.55,0.0,1.0,0
29,3782,1.1589,6.2,0.0833,0.9167,0
321,2401,0.1521,1.4762,0.0,1.0,1
9,4517,0.2426,0.6458,0.0,1.0,0
1,2702,3.1091,0.4189,0.087,0.913,0
72,4910,0.0,1.069,0.0,0.0,0
95,1685,0.2168,0.625,0.0,1.0,0
100,1284,4.8359,30.0,0.2353,0.7647,0
354,3681,5.8543,0.5,0.0,1.0,1
46,4509,2.3491,1.875,0.069,0.931,0
37,4495,4.3066,1.5,0.0189,0.9811,0
34,4024,3.1769,0.6522,0.0,1.0,0
5,2378,8.2942,3.0,0.037,0.963,0
12,5462,0.3344,0.6818,0.2,0.8,0
41,3516,1.2466,1.5789,0.0833,0.9167,0
636,1605,2.9584,1.1154,0.0,1.0,1
9,1792,1.4268,2.9,0.0,1.0,0
42,5086,5.4579,1.16,0.0,1.0,0
656,5037,0.3626,0.2613,0.0,1.0,1
22,3477,0.6303,0.9355,0.8333,0.1667,0
4,5304,0.482,1.2083,1.0,0.0,0
3612,3735,0.489,0.6905,0.0,1.0,1
81,2232,6.0548,14.5,0.1351,0.8649,0
46,3326,2.0865,0.5714,0.7895,0.2105,0
7,3380,8.4288,0.2276,0.0769,0.9231,0
9,4209,0.6074,2.1538,0.1429,0.8571,0
5,4112,2.3095,0.5,0.0769,0.9231,0
946,1345,12.4918,1.0,0.0,1.0,1
114,5500,1.793,4.6667,0.037,0.963,0
6,2212,5.2839,0.56,0.2188,0.7812,0
4,4508,0.2431,0.4375,0.3333,0.6667,0
18,1288,8.791,1.5556,0.0323,0.9677,0
11,1547,12.5134,1.0,0.0755,0.9245,0
5,4832,1.0583,0.359,0.0,1.0,0
1,3146,1.3932,0.4828,0.4167,0.5833,0
15,3452,8.7821,0.5625,0.0482,0.9518,0
73,5209,0.1402,1.08,0.0,1.0,0
7,1365,3.4786,1.125,0.0,1.0,0
11,418,20.0975,1.0,0.2174,0.7826,0
16,4447,3.9424,0.7105,0.0208,0.9792,0
82,4672,6.6452,0.2755,0.1647,0.8353,0
21,2500,4.6752,0.8438,0.0312,0.9688,0
38,799,16.914,27.0,0.2162,0.7838,0
91,4535,4.7519,0.75,0.1017,0.8983,0
41,1430,12.5156,1.7333,0.0204,0.9796,0
189,4652,1.8058,1.1304,0.0,1.0,1
289,5536,0.9897,8.6667,0.0,1.0,1
14,5690,2.6319,2.8889,0.0244,0.9756,0
45,420,26.0893,0.6047,0.3667,0.6333,0
64,4581,0.7176,1.8571,0.0,1.0,0
23,4073,2.78,0.7647,0.0645,0.9355,0
668,789,1.3888,26.0,0.0,1.0,1
111,5487,2.5961,4.3333,0.1026,0.8974,0
100,6152,2.078,1.1304,0.0,1.0,0
33,3822,2.0069,2.0833,0.2381,0.7619,0
80,3907,2.9916,0.2174,0.0,1.0,0
27,1497,10.4915,0.4808,0.0698,0.9302,0
26,560,18.9147,1.3158,0.4138,0.5862,0
112,4645,0.3145,0.5952,0.0,1.0,0
6,4741,4.4684,0.2,0.069,0.931,0
73,3857,11.5532,1.5625,0.0246,0.9754,0
1838,4808,0.3798,1.0,0.0,1.0,1
28,4827,25.6515,0.5556,0.0059,0.9941,0
6,4341,2.6083,0.7576,0.2258,0.7742,0
7,4432,0.2472,2.7778,0.0,1.0,0
38,3626,0.9066,1.087,0.6667,0.3333,0
229,5472,1.0012,1.1364,0.0,1.0,1
3,2045,5.3582,0.8065,0.0,1.0,0
32,2110,5.3662,0.4211,0.0968,0.9032,0
63,2418,4.5316,2.1818,0.1333,0.8667,0
237,4483,3.259,1.1429,0.0,1.0,1
22,3470,4.3156,2.6667,0.122,0.878,0
12,1912,2.8655,0.2963,0.2667,0.7333,0
5,3006,2.0656,0.3871,0.0588,0.9412,0
1218,1442,1.7731,24.0,0.0,1.0,1
28,4583,0.7173,1.2,0.2222,0.7778,0
152,5466,1.2028,0.6486,0.0,1.0,0
10,2403,4.4079,0.7059,0.0,1.0,0
1251,1746,1.2552,24.0,0.1667,0.8333,1
12,1709,1.7098,0.5581,0.5,0.5,0
60,4848,2.0342,2.3,0.1111,0.8889,0
5,4093,4.4619,1.2105,0.0,1.0,0
46,4474,1.5511,11.5,0.0,1.0,0
79,2753,4.9089,1.2105,0.3243,0.6757,0
18,5540,2.4394,1.0,0.0811,0.9189,0
2046,4422,2.3954,0.6053,0.0,1.0,1
14,3940,4.8206,0.7667,0.0385,0.9615,0
5,5393,1.6254,0.92,0.0417,0.9583,0
10,2711,7.6795,1.0455,0.0526,0.9474,0
70,1805,1.8212,0.7667,0.0,1.0,0
19,3646,2.2039,0.575,0.3182,0.6818,0
364,4865,0.7508,1.0,0.0,1.0,1
18,755,13.0619,0.697,0.0741,0.9259,0
110,5366,0.8849,0.7333,0.0769,0.9231,0
51,1865,0.0,1.2222,0.0,0.0,0
11,4588,0.7961,1.8333,0.1,0.9,0
4,2144,5.1108,0.9167,0.0667,0.9333,0
467,1650,1.7709,1.375,0.0,1.0,1
29,622,14.6805,0.6286,0.04,0.96,0
34,5094,1.8643,1.2941,0.0385,0.9615,0
840,3518,0.3115,0.5946,0.3333,0.6667,1
87,2644,2.901,0.88,0.0,1.0,0
33,5683,1.414,1.5714,0.2727,0.7273,0
24,1123,1.301,1.0476,0.0,1.0,0
33,4992,0.439,1.5714,0.0,1.0,0
24,2299,1.1121,0.3385,0.0,1.0,0
14,4711,1.0854,0.88,0.0,1.0,0
0,5773,0.949,1.5714,0.2,0.8,0
140,4481,1.7932,1.2222,0.0,1.0,0
45,4535,4.2686,0.6471,0.0189,0.9811,0
173,4405,1.1608,1.375,0.0714,0.9286,0
20,4416,0.4963,0.88,0.0,1.0,0
27,4873,4.5722,1.5714,0.0,1.0,0
12,3445,1.5903,0.4314,0.4,0.6,0
151,3099,3.3001,1.2941,0.0,1.0,0
19,4714,3.1768,1.375,0.0488,0.9512,0
40,3302,8.2961,1.1579,0.04,0.96,0
243,5544,0.4612,2.2,0.0,1.0,1
4,2345,4.2054,1.2222,0.1111,0.8889,0
