login,days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repo_activity_density,repository_maintenance_ratio
leeofeer,48,3583,1.8349,0.5714,0.0,1.0,0.0556,0.0,0.0,0.0
DiegoYegros,67,2234,4.5779,0.625,0.3214,0.6786,0.1429,0.0,1.4715,0.25
snnjnn,32,3638,2.008,0.7143,0.05,0.95,0.1,0.05,0.1004,0.1
claraberendsen,16,2873,2.1612,1.8182,0.2353,0.7647,0.0588,0.0,0.5085,0.0
VictorAponteParedes,19,1721,11.6727,1.0526,0.0545,0.9455,0.0545,0.0,0.6367,0.0182
jsdgdo,48,5096,0.6451,1.5385,0.4444,0.5556,0.2222,0.0,0.2867,0.2222
martinzarza,8,2480,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
cynthiafunes,97,1666,0.0,0.2941,0.0,0.0,0.0,0.0,0.0,0.0
paezdavid,19,2136,5.9849,0.3774,0.1143,0.8857,0.2286,0.4,0.684,0.0571
wvenialbo,13,5437,1.2764,1.3333,0.1053,0.8947,0.6316,0.1579,0.1344,0.3684
abdontroche,222,3952,0.5545,0.4255,0.0,1.0,1.6667,0.5,0.0,0.0
Flutter-Paraguay,852,868,0.4208,20.0,0.0,1.0,2.0,0.0,0.0,0.0
mbarakaja,20,4387,0.5828,1.1765,0.0,1.0,0.5714,0.2857,0.0,0.0
jcazalELPAKOMICHI,103,2949,1.1147,20.0,0.0,1.0,1.3333,0.3333,0.0,0.1111
Kw-52923,32,588,11.1811,1.0526,0.3333,0.6667,0.1111,0.0,3.727,0.0
MarioScappini,74,4446,1.3966,1.2667,0.1765,0.8235,0.1176,0.8235,0.2465,0.1176
fabianskier,55,3897,8.0604,0.3065,0.0349,0.9651,0.0233,0.0,0.2812,0.0233
0xd61,74,4333,5.6478,0.2754,0.0597,0.9403,0.2388,0.1642,0.3372,0.0597
mcarral,95,4459,2.9489,2.1111,0.0278,0.9722,0.0278,0.0,0.0819,0.0
team-mangopy,14,1242,0.2941,19.0,1.0,0.0,1.0,0.0,0.2941,1.0
estebankra,284,3084,0.9475,2.375,0.125,0.875,0.375,0.25,0.1184,0.125
Mbarakaj4,20,1368,12.0148,0.5,0.0,1.0,0.0,0.0444,0.0,0.0
sodep,10,4589,1.2735,19.0,0.0625,0.9375,0.25,1.5,0.0796,0.0
CyberKavaju,12,4372,0.6683,0.3878,0.125,0.875,0.0,0.0,0.0835,0.125
MacroHEX,17,2425,9.6396,1.0556,0.0938,0.9062,0.3281,0.0,0.9037,0.0469
gustyaquino,53,5754,0.3174,1.4615,0.0,1.0,0.0,0.0,0.0,0.0
bancardsa,640,1419,0.5148,19.0,0.0,1.0,0.0,0.0,0.0,0.0
carlosbrb,28,5397,1.9626,0.7308,0.0345,0.9655,0.069,0.069,0.0677,0.0345
danibri23,54,1585,7.6046,4.75,0.0303,0.9697,0.0303,0.0,0.2304,0.0606
jmada,33,3546,0.721,0.475,0.0,1.0,0.2857,0.0,0.0,0.0
ever96,99,3767,2.7149,0.6129,0.2143,0.7857,0.4643,0.0,0.5818,0.1429
zadkiel-troche,61,1914,4.5799,0.5135,0.0833,0.9167,0.0417,0.0,0.3817,0.0417
luiszarg96,54,3184,0.9177,0.8636,0.0,1.0,0.25,0.5,0.0,0.0
MatiasSalomon01,11,1331,10.9767,0.7917,0.05,0.95,0.6,0.025,0.5488,0.075
devpbeat,5,2064,4.601,0.6552,0.2308,0.7692,0.1923,0.0,1.0618,0.0769
jtsoya539,5,3667,2.1913,0.2969,0.1818,0.8182,0.2727,0.2273,0.3984,0.0909
fxsosa,9,2661,1.6471,0.5294,0.1667,0.8333,0.1667,0.4167,0.2745,0.0833
ramirezdario,900,4960,7.4376,0.5,0.0,1.0,0.0297,0.0594,0.0,0.0
heidihoge,1144,4095,2.8542,0.8571,0.0,1.0,0.0,0.0625,0.0,0.0
favioamarillapy,133,2517,0.0,0.6207,0.0,0.0,0.0,0.0,0.0,0.0
TheAndiHaller,65,3604,1.8242,0.5143,0.0,1.0,0.7778,0.3889,0.0,0.0
epeat96,39,2774,3.1601,1.3846,0.125,0.875,0.2083,0.0417,0.395,0.125
atiliopereira,96,3709,2.3634,1.3846,0.0833,0.9167,0.125,0.0833,0.197,0.0833
arielestigarribia,86,5149,0.8512,0.45,0.0,1.0,0.1667,0.0,0.0,0.0
andrealarroza,583,2457,0.7433,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Parzivalcen,1024,2193,12.1583,1.0,0.0,1.0,0.0137,0.0959,0.0,0.0
chelosilvero78,25,3152,22.8281,0.1395,0.0,1.0,0.0355,0.1472,0.0,0.0051
vianconi,17,2639,16.747,0.1208,0.0661,0.9339,0.0165,0.0,1.1072,0.1074
geroxima,12,2273,6.2669,1.2,0.0256,0.9744,0.2308,0.0513,0.1607,0.0256
simonandres182,15,4480,1.386,1.2857,0.0588,0.9412,0.0,0.0,0.0815,0.0588
adriangrahldev,2,2908,2.0096,1.0588,0.25,0.75,0.625,0.625,0.5024,0.5625
jcmello,464,4282,0.853,1.8889,0.0,1.0,0.4,0.3,0.0,0.0
adiazpy,346,4862,1.8781,1.4167,0.0,1.0,0.12,0.0,0.0,0.0
vargascarlitos,5,3733,2.5439,0.2464,0.2308,0.7692,0.0385,0.0385,0.5871,0.1538
OdaFra,3,3304,2.3215,0.2429,0.1429,0.8571,0.1429,0.0476,0.3316,0.1429
guillermojmc,541,5077,0.0719,0.5,0.0,1.0,0.0,0.0,0.0,0.0
irgalamarr,210,3269,2.3464,1.3077,0.0,1.0,0.0476,0.0476,0.0,0.0
luisencina,3,3887,2.5371,3.4,0.037,0.963,0.0741,0.0,0.094,0.0
elvispy,54,2554,6.1495,5.6667,0.1628,0.8372,0.4419,0.3256,1.0011,0.1395
laura-ksm,501,3571,2.0456,0.68,0.0,1.0,0.0,0.05,0.0,0.0
guidoarce89,250,4865,1.4265,0.85,0.0526,0.9474,0.0,0.0,0.0751,0.1053
jbust97,20,2713,2.9619,1.0,0.0,1.0,0.2273,0.0455,0.0,0.0
eadmin,3663,3981,0.6422,3.4,0.0,1.0,0.1429,0.0,0.0,0.0
NicolasFleitas,4,3109,2.4671,0.6296,0.5238,0.4762,0.0476,0.0,1.2923,0.4762
elialm7,91,2928,2.1206,0.7083,0.3529,0.6471,0.7059,0.0588,0.7485,0.0588
LorenaAcosta,47,3566,1.6388,1.8889,0.25,0.75,0.4375,0.0,0.4097,0.25
Ravf95,5,3821,1.625,0.5484,0.0,1.0,0.1176,0.1765,0.0,0.0
InumanSoul,6,2935,2.3645,0.7727,0.4211,0.5789,2.6842,0.0526,0.9956,0.3684
msvzero,18,3441,9.3409,1.3077,0.0455,0.9545,0.0455,0.0227,0.4246,0.0341
vespinola,26,4107,3.5573,1.2143,0.05,0.95,0.2,0.05,0.1779,0.125
CarlosScura,17,2201,1.9914,1.1333,1.0,0.0,0.0,0.0,1.9914,0.5
marcos-ortega-itti,1,3370,3.9018,0.6538,0.0,1.0,0.0,0.0,0.0,0.0
lambdaily,45,4181,1.5725,0.9444,0.1111,0.8889,0.0,0.0,0.1747,0.1111
seb5433,5,2499,1.7539,0.4474,0.0,1.0,0.5,0.0,0.0,0.0833
marcelo-cardozo,5,2279,6.571,0.9444,0.0,1.0,0.0488,0.0488,0.0,0.0
eruizpy,10,3729,1.2733,0.2909,0.3846,0.6154,0.1538,0.0,0.4897,0.3077
nicomendoza94,2,324,6.7639,0.5517,1.0,0.0,0.0,0.0,6.7639,0.1667
ferfleitas,6,1734,1.6851,0.5333,0.375,0.625,0.0,0.0,0.6319,0.375
jlpalaciosb,43,2785,1.8361,2.0,0.0714,0.9286,0.1429,0.0714,0.1311,0.0714
movihus,101,6332,0.1154,4.0,0.0,1.0,0.0,0.0,0.0,0.0
michaelstewarti,105,3492,1.4643,0.8889,0.0,1.0,0.0,0.0,0.0,0.0
xtianpaiva,16,5202,0.7723,0.5161,0.0,1.0,0.2727,0.0,0.0,0.0
TonyCastillo,6,5053,2.9636,1.6,0.122,0.878,0.0244,0.0,0.3614,0.0976
ronPy,19,6467,0.9037,2.0,0.0,1.0,0.0,0.0,0.0,0.0
rodrigofepy,104,3800,1.3457,0.2162,0.0,1.0,2.0,0.0714,0.0,0.0
luiscardozo,3,5523,2.8437,1.3333,0.0,1.0,0.093,0.0,0.0,0.0
hectorcabral94,14,2960,0.2468,0.9412,0.5,0.5,0.0,0.0,0.1234,0.0
GonzaloGaleano,13,5326,0.4801,0.9412,0.2857,0.7143,0.2857,0.0,0.1372,0.4286
aaronbarriospy,59,146,20.0137,0.7619,1.0,0.0,0.375,0.0,20.0137,0.375
carlososuna86,233,6294,0.6383,5.3333,0.0,1.0,0.0,0.0909,0.0,0.0
lrodriguez,409,5482,0.2665,1.3333,0.0,1.0,0.0,0.0,0.0,0.0
cristiojeda,381,2939,1.7399,1.0,0.0,1.0,0.2143,0.0,0.0,0.0
sofiab97,657,1925,0.9487,3.2,0.0,1.0,0.0,0.0,0.0,0.0
fernicar,101,3487,23.0442,1.1429,0.1136,0.8864,0.1545,0.0364,2.6187,0.0273
agimenezpy,3,5709,1.2796,2.2857,0.05,0.95,0.15,0.0,0.064,0.05
david-ayala,511,4459,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0
123ciro,792,3110,3.171,0.8333,0.0,1.0,0.037,0.0,0.0,0.0
Epichris360,107,3813,4.6937,1.5,0.0204,0.9796,0.102,0.0,0.0958,0.0204
edsonnaza,28,3756,8.0713,3.75,0.0241,0.9759,0.0361,0.012,0.1945,0.012
FEMADOX,26,1220,3.892,1.0714,0.9231,0.0769,1.3846,0.1538,3.5926,0.4615
Bagnoli95,34,2104,5.7287,0.75,0.0303,0.9697,0.0909,0.0,0.1736,0.0606
aabenitez,107,4374,0.9186,0.75,0.2727,0.7273,0.0,0.0,0.2505,0.0
maggiesarmiento,1537,2864,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
galileopy,73,4448,2.7098,0.5556,0.1212,0.8788,0.1212,0.0,0.3285,0.0606
joelsinbarba,97,3374,2.1651,1.25,0.0,1.0,0.05,0.0,0.0,0.0
ithdev,634,991,1.4743,15.0,0.25,0.75,4.25,0.5,0.3686,0.75
mmallorquin,42,4266,1.2843,3.0,0.0667,0.9333,0.0667,0.0,0.0856,0.0
DavidModzz,4,1814,1.8122,3.75,0.4444,0.5556,3.0,0.4444,0.8054,0.3333
jrmezafig,392,5142,0.3552,1.3636,0.0,1.0,0.0,0.0,0.0,0.0
ancho85,67,4918,2.5994,1.0,0.0286,0.9714,0.0,0.0,0.0743,0.0286
monchispy-bkp,14,2121,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
gbruiz,18,4454,0.82,1.875,0.0,1.0,0.3,0.0,0.0,0.0
brihanPenayo,6,1332,10.6943,1.875,0.0256,0.9744,0.0256,0.0513,0.2742,0.0
fedecar94,60,4256,3.1753,0.8824,0.0,1.0,0.2703,0.027,0.0,0.0
LeoPedrozo,5,2826,1.6802,0.8333,0.0,1.0,0.2308,0.2308,0.0,0.0
alcides29,719,4469,1.7163,1.3636,0.0,1.0,0.0,0.0,0.0,0.0
migueljoba,303,5401,0.8791,0.875,0.0,1.0,0.0769,0.0,0.0,0.0
Alvar01o,1,5226,2.3763,1.0769,0.0588,0.9412,0.3235,0.0882,0.1398,0.0588
kranelox,1860,3287,0.2222,1.0,0.0,1.0,3.0,0.0,0.0,0.0
hamRS,19,2824,3.3628,0.6667,0.0,1.0,0.0385,0.0,0.0,0.0
Efraor,40,420,13.0446,0.5185,0.4,0.6,0.0,0.1333,5.2179,0.0
lizj,3761,4809,0.2279,3.5,0.0,1.0,0.3333,0.0,0.0,0.0
rodrigotroche,53,4011,0.1821,1.5556,0.0,1.0,0.0,0.0,0.0,0.0
ostumpfs,246,4933,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
LuichoMiranda,73,4171,0.9633,4.6667,0.0909,0.9091,0.0909,0.1818,0.0876,0.0909
alafourcadev,26,4188,7.2387,0.6087,0.0723,0.9277,0.5181,0.0,0.5233,0.3855
dabedev,3,2866,0.6372,2.0,0.2,0.8,1.6,1.2,0.1274,0.0
JonathanFunes,3227,4663,0.3916,2.8,0.0,1.0,0.2,0.0,0.0,0.0
carlossegovia,86,3812,1.2456,2.0,0.0,1.0,0.1538,0.0,0.0,0.0
hvoking,270,3823,0.0955,1.75,0.0,1.0,44.0,14.0,0.0,0.0
tyesh,12,3717,1.3757,0.6667,0.0,1.0,0.0,0.0,0.0,0.0
keuch2,60,6042,1.2695,1.75,0.5714,0.4286,0.0,0.0,0.7254,0.5238
lucascog,182,3839,0.2854,1.2727,0.0,1.0,1.6667,0.0,0.0,0.0
irvinmarceloc,30,2245,8.4601,1.2727,0.0,1.0,0.2115,0.0385,0.0,0.0
janparkio,18,4238,4.1369,1.0769,0.0417,0.9583,0.5833,0.1458,0.1724,0.0208
katherinevarela775,2,199,11.0126,0.7,1.0,0.0,0.0,0.0,11.0126,1.0
mistercorp,3264,3961,0.1844,4.6667,0.0,1.0,0.0,0.5,0.0,0.0
MiguelBelotto00,4,1855,4.1349,0.359,0.0476,0.9524,0.1429,0.0476,0.1969,0.0
JottaOS,93,1222,7.4724,0.875,0.12,0.88,0.56,0.04,0.8967,0.0
martin-legal-itti,34,3740,0.586,0.6364,0.0,1.0,0.0,0.0,0.0,0.0
Eze234,33,1611,1.5871,1.5556,0.5714,0.4286,2.1429,0.0,0.9069,0.0
ed314no,97,4030,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
Vitor-Benosse,115,2209,1.9842,0.4375,0.0,1.0,0.0833,0.0833,0.0,0.0
sunn02,4,1427,3.8393,0.6667,0.0667,0.9333,0.0,0.0,0.256,0.0667
padaleiana,794,2324,0.1572,2.0,0.0,1.0,0.0,0.0,0.0,0.0
kseltar,242,4911,1.1156,2.3333,0.0,1.0,0.2667,0.0,0.0,0.0
lpfannl,89,3846,0.095,0.4667,0.0,1.0,0.0,0.0,0.0,0.0
LunaCaniza,46,1916,0.1906,0.4516,0.0,1.0,0.0,0.0,0.0,0.0
loviedo,47,5747,0.8262,0.8235,0.0,1.0,0.0,0.0,0.0,0.0
enchenu,29,4132,4.3314,0.3333,0.0408,0.9592,0.0408,0.0,0.1768,0.0
MrChrisFabian,13,993,12.506,1.0769,0.0,1.0,0.1176,0.1765,0.0,0.0
imjazmina,14,744,15.2188,1.0,0.129,0.871,0.1613,0.0968,1.9637,0.0
IvanWeissVanDerPol,15,1470,20.126,1.75,0.5062,0.4938,0.1728,0.0988,10.1872,0.4074
Deeliapatricia,1462,2388,0.0,4.3333,0.0,0.0,0.0,0.0,0.0,0.0
JEstebanRodriguez,25,1727,10.3632,1.0,0.0204,0.9796,0.102,0.0,0.2115,0.0
matiaguilera,40,2061,1.2405,0.7647,0.1429,0.8571,0.0,0.0,0.1772,0.1429
jayala,1,5227,2.2361,0.9286,0.0312,0.9688,0.0,0.0625,0.0699,0.0
Adriram99,12,2585,1.2717,0.8125,0.0,1.0,0.0,0.3333,0.0,0.0
micayael,24,5913,1.8531,13.0,0.0667,0.9333,0.3667,0.0333,0.1235,0.0667
QuisVenator,6,4030,3.9878,1.1818,0.1818,0.8182,0.2955,0.0682,0.7251,0.1136
Fabrizio-Chavez,767,1634,0.2235,0.3611,0.0,1.0,0.0,0.0,0.0,0.0
josemilioz,29,4497,0.3249,2.1667,0.25,0.75,0.0,0.0,0.0812,0.25
ProyectoRespira,563,660,2.2136,13.0,1.0,0.0,3.0,0.5,2.2136,0.75
SebasthianLopez,27,1183,2.7787,0.5652,1.0,0.0,0.0,0.0,2.7787,0.3333
CanetePorta,1487,2534,0.0,0.8667,0.0,0.0,0.0,0.0,0.0,0.0
Daniel25A,890,3008,0.7286,3.25,0.0,1.0,0.5,0.1667,0.0,0.0
danielmartinezsarta,55,3985,2.2914,0.619,0.04,0.96,0.12,0.0,0.0917,0.04
gillopy,21,2704,21.7475,0.2955,0.0186,0.9814,0.087,0.0,0.4052,0.0124
stevenayal,18,3090,12.175,0.9286,0.2913,0.7087,0.0583,0.0388,3.5461,0.3301
rolandochaparro,3735,3781,0.0966,0.325,0.0,1.0,1.0,0.0,0.0,0.0
nescobar,18,5090,0.6458,0.8125,0.0,1.0,0.1111,0.3333,0.0,0.0
Meyer23,23,2404,3.1906,1.1818,0.1429,0.8571,0.0,0.0476,0.4558,0.0952
DesarrolloPorta,1683,2631,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
matias-fare,7,3022,5.6806,1.0,0.0,1.0,0.0,0.1064,0.0,0.0
rodolrojas,2,4535,0.4832,4.3333,0.1667,0.8333,0.1667,0.3333,0.0805,0.0
flopezpires,23,3964,0.5529,6.5,0.0,1.0,1.0,0.5,0.0,0.0
gamalielsaracho,5,4342,2.103,4.3333,0.04,0.96,0.0,0.12,0.0841,0.0
silviosisa,26,4280,2.7308,2.1667,0.0625,0.9375,0.0,0.0,0.1707,0.0
lgmore,96,5642,1.5537,2.1667,0.0,1.0,0.0,0.2083,0.0,0.0
miryk,1063,1345,7.0606,1.1818,0.0,1.0,0.0385,0.0,0.0,0.0
lezcano001,94,2536,4.8969,0.4062,0.0,1.0,0.3529,0.0,0.0,0.0
Jorgedavyd,26,2588,6.6332,1.0,0.0213,0.9787,0.7872,0.0851,0.1411,0.0638
alex2rive3,247,2289,11.6484,0.9286,0.0,1.0,0.0,0.0,0.0,0.0
Qatleph,120,4338,0.1684,2.1667,0.0,1.0,0.0,0.0,0.0,0.0
rickyMelida,14,2911,16.8133,0.325,0.0597,0.9403,0.0075,0.097,1.0038,0.0224
kunumigab,31,3011,0.2426,0.7647,0.5,0.5,0.0,0.0,0.1213,0.5
maritogaleano,17,2404,0.3039,0.9286,0.0,1.0,0.0,0.0,0.0,0.0
matiasrebori,7,2558,3.7125,1.0,0.0385,0.9615,0.1923,0.1154,0.1428,0.0385
ricpar11,94,4090,1.7861,1.0833,0.0,1.0,0.0,0.05,0.0,0.0
toviaferna,2,3127,0.4672,0.2549,0.0,1.0,0.5,0.0,0.0,0.0
Nicole-Leiva,293,2868,0.7641,1.3,0.0,1.0,0.1667,0.0,0.0,0.0
fabiuxx,109,4703,1.1649,1.4444,0.1333,0.8667,0.0667,0.0,0.1553,0.1333
czayas,4,5508,0.4642,0.7222,0.0,1.0,1.0,0.4286,0.0,0.0
rafaelphp,75,5058,12.1317,0.1781,0.2143,0.7857,0.0774,0.0952,2.5996,0.1548
eleve-dev-team,1271,1547,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
rafahsieh99,146,770,11.3844,1.0909,0.0,1.0,0.0,0.0,0.0,0.0
dev-cardenas,58,2459,1.0398,1.5,0.1429,0.8571,0.2857,0.0,0.1485,0.1429
almars27,124,1643,0.2223,2.0,0.0,1.0,0.0,0.0,0.0,0.0
thecacho,4,2028,3.9623,1.0,0.0455,0.9545,0.0455,0.0,0.1801,0.0455
nespinoza2000,24,1369,9.0712,0.24,0.0294,0.9706,0.1765,0.0294,0.2668,0.0
Marian-Lugo,520,1850,3.7512,0.4138,0.0,1.0,0.3684,0.0,0.0,0.0526
IDLSA-bkp,14,1153,0.3168,12.0,1.0,0.0,0.0,0.0,0.3168,0.0
osmar-vil,6,3805,0.192,1.2,0.5,0.5,0.0,0.0,0.096,0.5
morphware,493,1861,1.9627,12.0,0.2,0.8,2.3,0.3,0.3925,0.0
romifz,77,5106,0.9299,0.7059,0.0,1.0,0.0,0.0,0.0,0.0
Joss3Dev,9,2758,1.3243,1.2,0.0,1.0,0.5,0.2,0.0,0.0
adrianrmz11,18,3260,1.4565,3.0,0.1538,0.8462,0.5385,0.1538,0.2241,0.1538
magalysuchecki,104,3593,0.8132,2.0,0.375,0.625,0.0,0.0,0.305,0.125
rodibot,3207,4153,1.9349,12.0,0.0,1.0,2.0909,1.0909,0.0,0.0455
PanyPy,17,4129,2.123,12.0,0.0,1.0,0.625,0.125,0.0,0.0
nelson-lz,14,2574,2.2704,0.5,0.0,1.0,0.0625,0.0,0.0,0.0
DzElias,25,1663,5.4908,0.7059,0.08,0.92,1.88,0.0,0.4393,0.0
kizeo0,51,1142,5.4372,6.0,0.8235,0.1765,1.1765,0.0,4.4777,0.5294
marceperez99,21,3704,1.3805,1.0909,0.0,1.0,0.0,0.1429,0.0,0.0
morozevich,231,5523,0.2645,1.0909,0.0,1.0,0.0,0.0,0.0,0.0
matiaslopezs,299,2289,1.4361,0.8,0.0,1.0,0.3333,0.2222,0.0,0.0
lici0,2124,4593,1.3519,4.0,0.0,1.0,0.0588,0.0,0.0,0.0
miguelbernal,133,3879,2.7307,6.0,0.0345,0.9655,0.0345,0.0345,0.0942,0.0345
domedfd,18,4346,2.8575,0.8,0.0,1.0,0.0882,0.0294,0.0,0.0
ferreiraluc,48,2115,3.972,0.6,0.0435,0.9565,0.1304,0.0,0.1727,0.0435
xreq403,106,3583,0.0,0.2927,0.0,0.0,0.0,0.0,0.0,0.0
fredyGabriel,83,3562,0.9229,6.0,0.0,1.0,1.4444,0.8889,0.0,0.1111
Kameljesus,108,422,13.8483,1.3333,0.75,0.25,0.0,0.0,10.3863,0.0
jrugel,11,3688,2.8721,0.4138,0.1379,0.8621,0.0,0.0,0.3961,0.069
rodrigovb,194,4156,0.3515,1.5,0.0,1.0,0.0,0.0,0.0,0.0
goncy,5,4525,23.8926,416.0833,0.0338,0.9662,16.0878,4.348,0.8072,0.0608
bevacqua,130,5441,19.5346,104.9783,0.0,1.0,179.3368,15.4399,0.0,0.0859
pablokbs,10,4823,6.3614,3870.0,0.0238,0.9762,33.1071,19.8333,0.1515,0.0476
sammwyy,20,2774,33.1806,49.4808,0.1825,0.8175,35.5357,3.4325,6.0568,0.2698
majoledesma,502,2469,1.4793,2516.0,0.0,1.0,4.0,0.0,0.0,0.0
gerMdz,49,2369,14.0303,0.4916,0.2637,0.7363,5.8681,0.2418,3.7003,0.1758
FrMahon,23,764,0.9562,0.592,0.5,0.5,21.5,1.5,0.4781,0.5
jrgarciadev,3,3250,1.9105,381.5,0.0588,0.9412,43.4706,7.4118,0.1124,0.2941
EggCooperation,1643,1645,11.1018,1496.0,0.0,1.0,5.18,5.8,0.0,0.0
No-Country-simulation,525,739,1054.7273,1415.0,0.1026,0.8974,0.3941,0.2413,108.2405,0.0684
choidavid4,59,2231,2.6195,688.0,0.0,1.0,12.6875,7.6875,0.0,0.0625
maurosoria,66,5139,0.2843,7.5774,0.25,0.75,3618.5,617.25,0.0711,0.25
111milprogramadores,2558,3547,2.3684,1236.0,0.0,1.0,14.2174,12.3913,0.0,0.0
carolinabentresca,8,1776,0.0,0.4835,0.0,0.0,0.0,0.0,0.0,0.0
aseprite,689,4842,6.4119,1088.0,0.1882,0.8118,466.9647,103.3647,1.2069,0.2118
soyHenry,1314,2421,4.2243,1082.0,0.0,1.0,75.8929,2260.0,0.0,0.25
octaviovillegas,19,3978,12.2117,261.25,0.0075,0.9925,1.9624,48.0301,0.0918,0.0226
andresriancho,29,5473,7.2076,71.1429,0.0093,0.9907,72.6296,17.5648,0.0667,0.0648
valentinawerle,32,974,2.625,29.0,0.0,1.0,9.4286,10.1429,0.0,0.4286
dacap,10,6396,8.623,3.6617,0.0397,0.9603,10.7351,1.7351,0.3426,0.0728
roxsross,19,2711,12.934,106.8889,0.2708,0.7292,16.6771,8.2708,3.503,0.2396
pazguille,105,5897,10.2818,4.7253,0.0783,0.9217,44.2048,3.7349,0.8052,0.0964
sachalifs,34,5319,6.0429,286.3333,0.0341,0.9659,0.875,1.3864,0.206,0.0
MarianoVilla,2,2783,5.9059,846.0,0.0667,0.9333,5.2444,0.7556,0.3937,0.1333
danielfuentes,857,4743,5.5446,1.129,0.0,1.0,2.4722,2.3611,0.0,0.0
eternauta1337,24,5639,6.0886,38.8571,0.0213,0.9787,5.8617,1.117,0.1295,0.0106
LucioFex,30,2262,7.1048,5.7299,0.2045,0.7955,2.4545,0.7045,1.4532,0.1364
lambdaclass,6,4520,33.0503,774.0,0.2029,0.7971,14.5452,2.912,6.707,0.1687
dgfigueroa29,14,3681,2.6791,0.4512,0.1111,0.8889,2.5926,0.037,0.2977,0.2222
spalladino,19,5731,8.094,751.0,0.0315,0.9685,3.9528,0.8031,0.2549,0.0236
imlauera,0,2788,9.4326,0.6547,0.125,0.875,1.0833,0.0417,1.1791,0.1111
dcatanzaro,83,4915,2.7496,39.0,0.1351,0.8649,7.8108,2.1351,0.3716,0.1351
manoloide,1208,4527,1.1296,38.0556,0.0,1.0,67.8571,11.0714,0.0,0.1429
facundoolano,22,5392,3.387,673.0,0.22,0.78,331.58,36.52,0.7451,0.3
palonza,1,5980,5.3138,0.6204,0.0345,0.9655,0.1494,0.0,0.1832,0.046
FiammaMuscari,4,2013,16.8744,5.2283,0.0968,0.9032,1.9785,0.2796,1.633,0.0968
galva-dev,10,2979,3.6782,0.614,0.0333,0.9667,0.8,0.1,0.1226,0.0333
asterite,76,5956,6.8684,33.1579,0.0,1.0,1.6964,0.3482,0.0,0.0
CharlyCimino,6,2696,14.9026,125.2,0.0091,0.9909,1.4727,0.4273,0.1355,0.0455
Fifixex,1,1245,7.6277,121.8,0.2308,0.7692,1.1538,0.2308,1.7602,0.1538
datosgobar,136,3822,10.8944,606.0,0.1053,0.8947,6.2456,4.4035,1.1468,0.1404
alexiarstein,29,1769,6.6071,50.4167,0.3438,0.6562,5.125,1.0312,2.2712,0.3438
germancutraro,7,3442,15.1745,12.3469,0.0,1.0,2.6224,1.5385,0.0,0.021
ianaya89,69,4901,2.1612,12.9783,0.3448,0.6552,12.0345,2.6207,0.7453,0.8621
fitoprincipe,11,4155,5.2744,4.4211,0.0167,0.9833,9.6667,3.0833,0.0879,0.05
GEJ1,14,4291,5.7882,0.743,0.1324,0.8676,7.1029,1.9853,0.7661,0.1471
valpackett,65,5957,24.5258,0.559,0.0725,0.9275,15.7475,1.8675,1.7781,0.055
carpicoder,46,1397,13.0727,571.0,0.02,0.98,6.12,2.5,0.2615,0.06
Axel-07,10,2127,5.1516,0.5182,0.0333,0.9667,0.7667,0.0,0.1717,0.1667
fedebayer,35,1749,5.2208,0.6167,0.04,0.96,0.84,0.16,0.2088,0.24
chinoogawa,1355,4789,0.3051,47.1667,0.0,1.0,602.25,170.75,0.0,0.75
gauss314,10,3218,2.3835,28.05,0.2857,0.7143,50.9048,12.6667,0.681,0.4286
ChichiCuello,17,1871,2.9282,45.9167,0.0,1.0,0.2,0.0667,0.0,0.0
mkiisoft,12,4905,10.1272,136.5,0.0074,0.9926,3.3971,1.1691,0.0745,0.0221
sisoputnfrba,895,5198,5.7619,545.0,0.1098,0.8902,6.0122,26.8902,0.6324,0.1463
lucperkins,4,5210,4.627,16.9355,0.2121,0.7879,31.9091,2.8333,0.9815,0.197
Julianidiego,24,950,10.3808,0.6359,0.1481,0.8519,5.2963,0.037,1.5379,0.1852
jorgeucano,11,4591,13.127,19.1481,0.0,1.0,1.3394,0.7273,0.0,0.0242
unbalancedparentheses,17,5628,2.9853,0.9188,0.8696,0.1304,20.1957,2.7391,2.5959,0.4565
andresgalante,12,5120,9.8446,25.0,0.0072,0.9928,0.3913,0.8841,0.0713,0.0145
tiago1820,147,3941,5.4681,0.4097,0.0678,0.9322,0.322,0.1017,0.3707,0.0339
mateolafalce,30,1593,13.7571,1.0374,0.3,0.7,2.65,0.3833,4.1271,0.1833
evaferreira,12,4658,3.9207,17.1379,0.02,0.98,2.82,0.52,0.0784,0.04
MKiperszmid,68,3847,2.9433,485.0,0.0645,0.9355,5.2258,0.6774,0.1899,0.2258
wcd6,65,642,11.3785,238.5,0.8,0.2,26.45,0.25,9.1028,0.3
